x,y,z,a,b,c,e,coil1,coil2,timestamp,
-4.2866143598,-6.754623404,0,219.312,0,180,1,2000,2000,3.32,83
-3.4062343325,-7.2386164197,0,219.78,0,180,1,2000,2000,3.36,84
-2.472135955,-7.6084521304,0,220.248,0,180,1,2000,2000,3.4,85
-1.4990505167,-7.8582980058,0,220.716,0,180,1,2000,2000,3.44,86
-0.5023241562,-7.9842138274,0,221.184,0,180,1,2000,2000,3.48,87
0.5023241562,-7.9842138274,0,221.652,0,180,1,2000,2000,3.52,88
1.4990505167,-7.8582980058,0,222.12,0,180,1,2000,2000,3.56,89
2.472135955,-7.6084521304,0,222.588,0,180,1,2000,2000,3.6,90
3.4062343325,-7.2386164197,0,223.056,0,180,1,2000,2000,3.64,91
4.2866143598,-6.754623404,0,223.524,0,180,1,2000,2000,3.68,92
5.099391918,-6.1641059422,0,223.992,0,180,1,2000,2000,3.72,93
5.8317490194,-5.4763768474,0,224.46,0,180,1,2000,2000,3.76,94
6.472135955,-4.7022820183,0,224.928,0,180,1,2000,2000,3.8,95
7.0104534404,-3.8540293928,0,225.396,0,180,1,2000,2000,3.84,96
7.4382118871,-2.9449964215,0,225.864,0,180,1,2000,2000,3.88,97
7.748665289,-1.9895190973,0,226.332,0,180,1,2000,2000,3.92,98
7.9369176105,-1.0026658685,0,226.8,0,180,1,2000,2000,3.96,99
8,1.02919849579305E-14,0,227.268,0,180,1,2000,2000,4,100
7.9369176105,1.0026658685,0,227.736,0,180,1,2000,2000,4.04,101
7.748665289,1.9895190973,0,228.204,0,180,1,2000,2000,4.08,102
7.4382118871,2.9449964215,0,228.672,0,180,1,2000,2000,4.12,103
7.0104534404,3.8540293928,0,229.14,0,180,1,2000,2000,4.16,104
6.472135955,4.7022820183,0,229.608,0,180,1,2000,2000,4.2,105
5.8317490194,5.4763768474,0,230.076,0,180,1,2000,2000,4.24,106
5.099391918,6.1641059422,0,230.544,0,180,1,2000,2000,4.28,107
4.2866143598,6.754623404,0,231.012,0,180,1,2000,2000,4.32,108
3.4062343325,7.2386164197,0,231.48,0,180,1,2000,2000,4.36,109
2.472135955,7.6084521304,0,231.948,0,180,1,2000,2000,4.4,110
1.4990505167,7.8582980058,0,232.416,0,180,1,2000,2000,4.44,111
