x,y,z,a,b,c,e,coil1,coil2,timestamp,
0.5023241562,7.9842138274,0,349.884,0,180,1,2000,2000,14.48,362
-0.5023241562,7.9842138274,0,350.352,0,180,1,2000,2000,14.52,363
-1.4990505167,7.8582980058,0,350.82,0,180,1,2000,2000,14.56,364
-2.472135955,7.6084521304,0,351.288,0,180,1,2000,2000,14.6,365
-3.4062343325,7.2386164197,0,351.756,0,180,1,2000,2000,14.64,366
-4.2866143598,6.754623404,0,352.224,0,180,1,2000,2000,14.68,367
-5.099391918,6.1641059422,0,352.692,0,180,1,2000,2000,14.72,368
-5.8317490194,5.4763768474,0,353.16,0,180,1,2000,2000,14.76,369
-6.472135955,4.7022820183,0,353.628,0,180,1,2000,2000,14.8,370
-7.0104534404,3.8540293928,0,354.096,0,180,1,2000,2000,14.84,371
-7.4382118871,2.9449964215,0,354.564,0,180,1,2000,2000,14.88,372
-7.748665289,1.9895190973,0,355.032,0,180,1,2000,2000,14.92,373
-7.9369176105,1.0026658685,0,355.5,0,180,1,2000,2000,14.96,374
-8,-1.37259478406358E-14,0,355.968,0,180,1,2000,2000,15,375
-7.9369176105,-1.0026658685,0,356.436,0,180,1,2000,2000,15.04,376
-7.748665289,-1.9895190973,0,356.904,0,180,1,2000,2000,15.08,377
-7.4382118871,-2.9449964215,0,357.372,0,180,1,2000,2000,15.12,378
-7.0104534404,-3.8540293928,0,357.84,0,180,1,2000,2000,15.16,379
-6.472135955,-4.7022820183,0,358.308,0,180,1,2000,2000,15.2,380
-5.8317490194,-5.4763768474,0,358.776,0,180,1,2000,2000,15.24,381
-5.099391918,-6.1641059422,0,359.244,0,180,1,#,#,15.28,382
-4.2866143598,-6.754623404,0,359.244,0,180,1,0,0,15.32,383
